Feature ID	Taxon	Confidence
G900539795	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp003447235	1.0
G000438455	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Salinicoccaceae; g__Nosocomiicoccus; s__Nosocomiicoccus massiliensis	1.0
G900543675	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__RF39; f__UBA660; g__Scybalousia; s__Scybalousia sp900543675	1.0
G000023865	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Pseudonocardiaceae; g__Saccharomonospora_A; s__Saccharomonospora_A viridis	1.0
G000743945	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595401; g__Basilea; s__Basilea psittacipulmonis	1.0
G000829905	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Beduini; s__Beduini massiliensis	1.0
G001021715	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Dermacoccus; s__Dermacoccus profundi	1.0
G900113085	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nevskiales; f__Nevskiaceae; g__Fontimonas; s__Fontimonas thermophila	1.0
G011440275	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Metallococcus; s__Metallococcus carri	1.0
G000016405	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter_A_494292; s__Cereibacter_A_494292 azotoformans	1.0
G007855645	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Qingshengfaniella; s__Qingshengfaniella alkalisoli	1.0
G001425665	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Microcella; s__Microcella sp001425665	1.0
G000980895	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 olei	1.0
G900156005	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Neorhizobium_500066; s__Neorhizobium straminoryzae	1.0
G000686145	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D_247249; s__Romboutsia_D_247249 sp000686145	1.0
G000483005	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Variovorax; s__Variovorax paradoxus_C	1.0
G001008165	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Croceibacterium_484881; s__Croceibacterium atlanticum	1.0
G000213935	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium nuruki	1.0
G000744705	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales_400645; f__Streptomycetaceae_400641; g__Streptacidiphilus_400617; s__Streptacidiphilus albus	1.0
G001811135	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__Aerococcus urinae_B	1.0
G006715055	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Lapillicoccus; s__Lapillicoccus jejuensis	1.0
G001654915	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Buttiauxella; s__Buttiauxella agrestis	1.0
